# Created at 2021-03-26 16:46 UTC by TPP v4.3, file format v1.1
# Station ID,Unique ID,Station code,X,Y,Z,Latitude,Longitude,Height,Antenna height [m],Name,Station name,Manufacturer,Receiver Name,Receiver Firmware Version,Receiver Serial Number
97,134,CULM,-2247154.2215,-3640321.9205,4715371.3478,47.975409074,-121.686845488,437.5475,0,TRM115000.00    NONE,CULM,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
130,138,P417,-2411291.6806,-3671132.2032,4609469.6868,46.574733907,-123.297912688,102.82,0,TRM159800.00    SCIS,P417,TRIMBLE,TRIMBLE NETR9,,
702,139,RMSN,-2301447.9659,-3632692.8525,4694683.8531,47.701727358,-122.355800942,84.812,0,TRM55970.00     NONE,RMSN,TRIMBLE,TRIMBLE NETR5,,
36,14,P442,-2230148.2574,-3622853.2592,4736317.2373,48.260475619,-121.615532402,147.218,0,TRM59800.00     SCIT,P442,TRIMBLE,TRIMBLE NETR9,Nav 5.42 / Boot 5.42,
47,141,THUN,-2323249.2827,-3676657.9002,4649885.9254,47.105836566,-122.288448565,142.8621,0,LEIAT504GG      LEIS,THUN,LEICA,LEICA GR30,4.11,1705727
986,143,VCWx,-2402166.12255272,-3768314.88332032,4535677.89847091,45.617623158,-122.516055267,77.397,0,TPSCR.G3        TPSH,VCWx,TOPCON,TPS NET-G3A,,
245,144,SKGT,-2268188.7831,-3582041.1522,4748984.6824,48.433432035,-122.342451172,-6.4169,0,TRM115000.00    NONE,SKGT,TRIMBLE,TRIMBLE NETR9,Nav 5.22 / Boot 5.22,
64,145,GHCL,-2426441.9947,-3624318.9179,4638190.5178,46.952521123,-123.801877074,37.0589,0,TRM115000.00    NONE,GHCL,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
470,146,RDTP,-2217720.6356,-3726517.9975,4663502.5672,47.272678778,-120.757669113,1519.3066,0,TRM57971.00     NONE,RDTP,SEPTENTRIO,SEPT POLARX5,5.1.1,3013385
160,147,P423,-2356870.6922,-3637430.5392,4663564.0939,47.287899305,-122.941192916,40.301,0,TRM59800.00     SCIT,P423,TRIMBLE,TRIMBLE NETR9,Nav 5.43 / Boot 5.43,
450,148,YAKS,-2230861.0382,-3782734.5564,4610368.7916,46.584546042,-120.529903486,308.4609,0,TRM115000.00    NONE,YAKS,SEPTENTRIO,SEPT POLARX5,,
198,149,P694,-2351732.957,-3737104.1508,4589568.0275,46.299625299,-122.181914127,1726.0901,0,TRM59800.00     SCIT,P694,TRIMBLE,TRIMBLE NETR9,Nav 5.42 / Boot ,
308,15,DVPT,-2030661.0223,-3795466.3211,4691741.0487,47.656066036,-118.147796892,727.9891,0,TRM115000.00    NONE,DVPT,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,5730R50490
955,150,P422,-1984676.7318,-3898566.9327,4627025.6058,46.797860772,-116.979667534,844.1852,0,TRM29659.00     NONE,P422,TRIMBLE,TRIMBLE NETRS,,
190,151,JKPR,-2383496.3809,-3693092.336,4606467.2728,46.535018836,-122.837919762,149.0081,0,TRM115000.00    NONE,JKPR,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,5936R50269
83,152,ROKY,-2330698.886,-3680235.6635,4643347.5062,47.019637063,-122.34614305,128.6778,0,TRM115000.00    NONE,ROKY,TRIMBLE,TRIMBLE NETR9,Nav 5.43 / Boot 5.43,
621,153,DANP,-2159491.6315,-3851907.913,4586890.9013,46.28003787,-119.276258269,104.183,0,TRM115000.00    NONE,DANP,TRIMBLE,TRIMBLE NETR9,Nav 5.45 / Boot 5.45,
620,154,BLDG,-2070210.6628,-3897555.1005,4590001.8804,46.316971197,-117.975284029,483.7669,0,TRM115000.00    NONE,BLDG,SEPTENTRIO,SEPT POLARX5,,3013382
